"tract","zipcode","approx_loc","county","region","ACS2024Pop","CIscore","CIscoreP","ozone","ozoneP","pm","pmP","diesel","dieselP","pest","pestP","RSEIhaz","RSEIhazP","traffic","trafficP","drink","drinkP","lead","leadP","cleanups","cleanupsP","gwthreats","gwthreatsP","haz","hazP","iwb","iwbP","swis","swisP","SmATS","SmATSP","Pollution","PollutionS","PollutionP","asthma","asthmaP","lbw","lbwP","cvd","cvdP","diabetes","diabetesP","edu","eduP","ling","lingP","pov","povP","unemp","unempP","housingB","housingBP","PopChar","PopCharSco","PopCharP","pop_und10","pop_10_64","pop_ov64","hisp","white","black","amind","asian","pacisl","othmult"
6037127806,91411,"Van Nuys","Los Angeles","LA Area",3697,41.0451055834644,76.5415697996236,0.05597186527,78.1023500988359,10.14331982,70.8324181858115,0.101952957,68.4401451027811,0,0,348.966664633333,45.8935067798479,491.819,56.4471803891393,34.60056492,38.0345168736946,62.141667591873,64.3189884649512,10.2,59.710057384476,1.5,12.7347417840376,0.335,41.8448883666275,0,0,1.5,38.4615384615385,72.6,54.4678940278401,46.6845988259507,5.66604846796409,59.1148693169339,46.01,73.4156287887138,7.3,83.5175992779783,18.17,76.3436123348018,11.1,47.0562293274531,29.8931072613343,83.2925744775456,29.5281582952816,95.6396741734547,28.0768190424669,56.9848468089813,4.97089117778773,37.9352541995773,23.015873015873,76.2749445676275,70.054363138837,7.24404420744615,81.3904572124433,12.28,79.5,8.22,66.19,22.29,1.57,0,6.09,0,3.87
6037127910,91405,"Van Nuys","Los Angeles","LA Area",5103,38.5751736813516,72.8108048267464,0.05655790943,79.3323083681089,10.23299511,72.1282670766527,0.052146005,42.1457623392327,0,0,346.664337166667,45.7501929225003,379.317,43.9595471034407,34.60056492,38.0345168736946,71.5405058722591,74.4787045252884,1,15.9619450317125,0,0,0.445,48.9189189189189,0,0,0,0,47.4,38.0444544229906,38.7038481770555,4.69743523952097,37.2391829562926,56.4,85.6827951063595,4.28,22.0780685920578,21.49,90.34140969163,14,81.2238147739802,34.0165101053231,87.7834593152512,23.3477455219271,91.6027791087686,48.0491186373539,87.0257714854552,9.52906548933039,79.7641561909,39.9339933993399,98.8137472283814,79.4147523533791,8.21196497969929,93.0477139377837,16.03,72.33,11.64,69.33,14.93,4.21,1.16,8.49,0,1.88
6037127920,91405,"Van Nuys","Los Angeles","LA Area",4190,36.988968480015,70.5081368316174,0.05652464222,79.244454206018,10.23299511,72.1282670766527,0.046033014,37.5398483016379,0,0,370.7316691,46.9518244956455,368.817,42.4865340222051,34.60056492,38.0345168736946,74.5724602299407,77.6286601597161,2.3,26.4723648444579,5,31.5580985915493,0.08,8.69565217391304,4,39.2054364871929,1.35,35.7946298984035,56.2,44.690166142793,43.1909725467591,5.24203163319054,49.428947946409,54.07,83.842169073074,3.89,15.884476534296,21.07,88.9867841409692,11.5,52.2491730981257,22.3096286972939,72.3432636727434,14.8221343873518,78.8212745567801,26.8006700167504,54.4076982634664,10.0716968248549,82.5230837690511,31.1036789297659,93.0820399113082,68.238061373143,7.05622763621169,78.6338979298129,3.82,84.77,11.41,46.87,44.77,2.53,0,5.04,0,0.79
6037128101,91401,"Van Nuys","Los Angeles","LA Area",3083,30.952892542365,60.9099966788442,0.05598107841,78.1243136393587,10.18675264,71.4473973204481,0.046620073,37.9355831592833,0,0,547.897338866667,54.2718553632455,397.385,46.3779267890513,34.60056492,38.0345168736946,56.3173257361162,57.7196095829636,1,15.9619450317125,0.75,6.02992957746479,0.095,9.58871915393654,4,39.2054364871929,0.5,19.6480406386067,100.6,66.7826672653794,40.7268634581311,4.94296594819731,42.5653415330551,45.2,71.762371872589,5.51,48.5785198555957,19.45,82.8414096916299,9.9,29.4818081587652,15.3130287648054,59.4041796353935,14.1057934508816,77.0843315764255,26.981008513425,54.7284592412344,7.14652956298201,61.8978751807765,19.0697674418605,61.629711751663,60.5574694358718,6.2620080467383,67.0762758773386,6.91,79.6,13.49,31.33,52.58,11.19,0,3.83,0,1.07
6037128102,91401,"Van Nuys","Los Angeles","LA Area",4864,40.8416687478905,76.2426657810251,0.05600716439,78.1572589501428,10.18675264,71.4473973204481,0.066685502,52.1710453995823,0,0,506.797983833333,52.5631132179473,362.589,41.5411674178301,34.60056492,38.0345168736946,70.9754406258451,73.7688553682343,1.1,16.5357897916037,0.75,6.02992957746479,0.275,35.7226792009401,0,0,1.25,35.3047895500726,81.1,58.8908845981141,42.444950252223,5.15148788674469,47.1996485833516,47.32,75.3554502369668,6.38,67.9715703971119,19.84,84.5594713656388,12.9,70.2315325248071,34.69088778201,88.3614939973321,30.0377833753149,95.8193579300431,48.6570247933884,87.7336577812189,5.24330441342889,41.139170096785,24.6875,80.9977827050998,76.6698993166135,7.92813059950706,90.1693789438725,8.92,79.93,11.14,80.39,12.34,1.6,0.21,4.65,0.1,0.72
6037128210,91401,"Van Nuys","Los Angeles","LA Area",4701,49.5755728364586,86.4496844902026,0.05547833344,77.0810454645289,10.20440779,71.7329233472436,0.141823777,79.2239199736177,0,0,573.4763387,55.0876419358395,340.025,38.375288556667,34.60056492,38.0345168736946,70.0256355457509,72.5598935226264,1.1,16.5357897916037,4.5,28.9319248826291,0.27,34.9471210340776,0,0,5,69.9201741654572,130.6,75.7184553210597,48.5664616503419,5.89444768828968,64.1335383263782,35.46,50.1818582607737,7.8,89.3614620938628,17.68,73.2378854625551,13.9,80.4410143329658,45.4895666131621,95.6980880391285,21.2435233160622,89.4585529468136,55.5626734998932,92.8437119787634,8.61408882082695,74.0126821670931,32.8220858895706,94.8115299334812,81.3352340252977,8.4105543823807,94.8522085685819,11.55,76.09,12.36,86.19,8.17,2.51,0,1.87,0,1.26
6037128220,91401,"Van Nuys","Los Angeles","LA Area",3228,43.3060213279381,79.2870585630466,0.05545414992,77.0371183834834,10.4446964,75.6094882495058,0.095189455,65.6700010992635,0,0,596.564656566667,55.7270422224672,335.303,37.6607672859184,34.60056492,38.0345168736946,64.6865813044616,66.7036379769299,0.2,2.43128964059197,3,22.4765258215962,0.085,9.18918918918919,0,0,2.5,52.8120464441219,149,79.9057027391109,43.9710339984169,5.33670666744673,51.6033384581595,35.46,50.1818582607737,10.81,99.3907942238267,17.68,73.2378854625551,12.8,69.0407938257993,29.8901098901099,83.2814584259671,17.0212765957447,83.3133684714902,50.1240694789082,88.9171551819489,7.70178681454097,66.648125486706,36.6942148760331,97.7716186252772,78.4745890907583,8.11474642069042,92.0402966899148,11.21,79.09,9.7,48.33,34.01,6.35,0,7.74,0,3.56
6037128302,91411,"Van Nuys","Los Angeles","LA Area",4159,54.1614299472188,90.9553858075944,0.0556144909,77.3995168021085,10.18904337,71.4913244014935,0.10906277,71.0124216774761,0,0,399.9173279,47.8999007827141,485.747,55.941519182148,34.60056492,38.0345168736946,78.5955630407499,82.0984915705413,3.65,32.9960736937481,7.5,39.8180751173709,0.34,41.9976498237368,10,78.5154208050183,5,69.9201741654572,77.3,56.9488100583745,54.7784855888317,6.64839287802688,79.0467823413134,43.91,68.9408134024027,6.33,66.8885379061372,16.93,69.647577092511,15.1,88.8864388092613,36.1623616236162,89.5509115162294,12.8005657708628,73.5625299472928,56.5754419956406,93.4520517641854,11.9415807560137,89.5983980420514,22.1843003412969,73.7028824833703,78.7820982766019,8.14654472755722,92.3613417469279,14.74,75.96,9.31,67.04,17.99,5.34,0,8.3,0,1.35
6037128303,91411,"Van Nuys","Los Angeles","LA Area",3453,52.6005195214966,89.5162183106388,0.05551002555,77.1688996266198,10.03418536,69.3608609707885,0.168695655,84.1156425195119,0,0,520.4786784,53.1694410759563,265.113,27.1518082884467,34.60056492,38.0345168736946,69.5996359857139,72.0275066548358,1,15.9619450317125,15.3,59.4336854460094,0.29,36.7567567567568,0,0,4.75,66.6727140783745,68.4,52.5707229456668,47.9410465707389,5.81854188117678,62.4643092466506,43.86,68.8195745618869,8.91,96.1191335740072,16.93,69.647577092511,14.5,85.0385887541345,45.7228400342173,95.7759004001779,31.9002579535684,96.6818399616675,67.2504378283713,97.9648268996792,10.7986501687289,85.4822560907776,39.9103139013453,98.8026607538803,87.4238576584357,9.04015483529669,98.2729990036533,16.8,78.34,4.87,76.66,7.65,11.67,0,2.43,0,1.59
6037128400,91411,"Van Nuys","Los Angeles","LA Area",4285,34.9449781219824,67.7294365105724,0.05498490065,75.8291236547331,10.11161436,70.3382385240501,0.082329994,60.2836099813125,0,0,587.516011566667,55.4845110792636,593.227,63.8891942398593,34.60056492,38.0345168736946,70.3986503377242,73.0590062111801,1.4,19.178495922682,18.3,64.8180751173709,0.535,54.7121034077556,10,78.5154208050183,8.5,82.6378809869376,296.8,92.8828019757521,58.2290043923142,7.06717781506882,85.5589721063035,43.41,67.6843381461479,6.99,78.6101083032491,16.97,69.9008810572687,8.3,10.9151047409041,10.6980961015413,47.3543797243219,0.604395604395604,2.41974125539051,23.0805134189032,45.7803340338458,3.77673796791444,23.4397597063077,22.6775956284153,75.2993348115299,47.8181589840858,4.94468641322026,48.2010406288055,7.82,82.1,10.08,28.14,48.84,7.21,0,6.35,0,9.45
6037128500,91401,"Van Nuys","Los Angeles","LA Area",4341,21.5026275557206,42.2672423336655,0.05436255466,74.2257851965737,10.01434829,69.2071161871294,0.039424025,31.9116192151259,0,0,642.5923258,56.8735530812479,297.324,31.9006265801913,34.60056492,38.0345168736946,41.1479960031087,41.6370896184561,0.5,7.4146783449109,5.25,32.2036384976526,0.15,20.8578143360752,4,39.2054364871929,1.25,35.3047895500726,119.95,72.8558599012124,40.195982069208,4.8785335710103,41.0718207775093,34.27,47.3162129394908,3.57,11.4169675090253,17.19,71.1894273127753,9.1,18.8313120176406,7.30367929708951,35.1934192974655,4.48606271777003,35.0383325347389,21.607924441373,42.1745382147992,6.45502645502645,54.7891867838469,22.0095693779904,73.1042128603104,42.6242089414826,4.40760061250694,40.0642090114026,6.24,78.07,15.69,20.55,62.54,3.36,0.51,5.11,0,7.92
